Topic ID;Terms
1;Enterprise Architecture - Frameworks and governance approaches for aligning IT and organizational structures
;enterprise architecture, governance, alignment, decentralization, frameworks
2;Process Management - Adaptive modeling of business processes using case management and state-based methods
;business process, case management, adaptability, declarative, statecharts
3;Context Modeling - Use of events, ontologies, and FCA for reasoning about contextual information
;context modeling, events, ontology, FCA, reasoning
4;Blockchain - Governance and trust mechanisms in decentralized systems using smart contracts and DAOs
;blockchain, DAO, governance, smart contracts, trust
5;Technology Acceptance - Predictors and mediating factors influencing adoption in acceptance models
;technology acceptance, trust, predictors, mediators, SEM
