Beta;Strategy;;;
;Direct;Medium;High;Low
0.00;470;295;175;175
0.25;;347;175;175
0.50;;377;175;175
0.75;;386;175;169
1.00;;470;91;84
1.25;;470;76;29
1.50;;470;51;3
1.75;;470;27;0
2.00;;470;17;0
