Topic ID;Terms
1;Enterprise Architecture - Aligning governance and organizational structures in decentralized systems
;enterprise, architecture, governance, decentralization, alignment
2;Case Management - Declarative and state-based approaches for adaptable process modeling
;case, management, statecharts, declarative, adaptability
3;Process Agility - Context-aware execution frameworks for agile business processes
;process, agility, context-aware, CAPE, execution
4;Blockchain Trust - Blockchain patterns applied to trust and adoption in supply chains
;blockchain, trust, supply, patterns, adoption
5;Model-Driven Design - Goal-oriented modeling with validation and constraint alignment
;model-driven, goals, constraints, validation, alignment
6;Crisis Management - Modeling and simulating emergency and flood response scenarios
;crisis, flood, simulation, scenarios, MAP
7;Business Rules - Alloy-based modeling of rules, invariants, and simulation validation
;rules, Alloy, invariants, simulation, validation
8;AI Services - Trust and awareness in GPT-based AI assistant ecosystems
;AI, GPT, services, awareness, assistants
9;Intention Mining - Extracting user goals from context and mobile interactions for personalization
;context, intention, mining, mobile, personalization
10;IT Governance - Public sector governance models integrating value, IT, and innovation
;governance, IT, public, value, innovation
11;Peer-to-Peer - Decentralized organizational principles applied to IT and governance
;peer-to-peer, IT, principles, organizations, federated
12;Methodologies - Reconciling diverse information system engineering methods through heuristics
;methodologies, reconciliation, interpretivist, heuristics, engineering
